LOCATION,Country,Year,Unemployment Percentage
JPN,Japan,2019,2.352161071
JPN,Japan,2020,2.782875356
JPN,Japan,2021,2.819569283
JPN,Japan,2022,2.608434731
JPN,Japan,2023,2.457515003
JPN,Japan,2024,2.372512754
KOR,Korea,2016,3.690494316
KOR,Korea,2017,3.691804838
KOR,Korea,2018,3.868967087
KOR,Korea,2019,3.763465818
KOR,Korea,2020,3.943595606
KOR,Korea,2021,3.626403141
KOR,Korea,2022,2.821657308
KOR,Korea,2023,3.258327572
KOR,Korea,2024,3.233976382
LUX,Luxembourg,2016,6.353286014
LUX,Luxembourg,2017,5.918539652
LUX,Luxembourg,2018,5.454577474
LUX,Luxembourg,2019,5.365049105
LUX,Luxembourg,2020,6.363129029
LUX,Luxembourg,2021,5.734067938
LUX,Luxembourg,2022,4.762000575
LUX,Luxembourg,2023,4.970520465
LUX,Luxembourg,2024,5.220040999
MEX,Mexico,2016,3.884693716
MEX,Mexico,2017,3.418867167
MEX,Mexico,2018,3.287277394
MEX,Mexico,2019,3.466848344
MEX,Mexico,2020,4.406568722
MEX,Mexico,2021,4.13417946
MEX,Mexico,2022,3.32461572
MEX,Mexico,2023,3.399937469
MEX,Mexico,2024,3.276714411
NLD,Netherlands,2016,7.0083105
NLD,Netherlands,2017,5.873277842
NLD,Netherlands,2018,4.875410127
NLD,Netherlands,2019,4.435593057
NLD,Netherlands,2020,4.865024699
NLD,Netherlands,2021,4.222728214
NLD,Netherlands,2022,3.603821401
NLD,Netherlands,2023,4.149598246
NLD,Netherlands,2024,4.26666399
NZL,New Zealand,2016,5.148533766
NZL,New Zealand,2017,4.732965009
NZL,New Zealand,2018,4.314994606
NZL,New Zealand,2019,4.100329094
NZL,New Zealand,2020,4.60382633
NZL,New Zealand,2021,3.768215918
NZL,New Zealand,2022,3.292084948
NZL,New Zealand,2023,3.972068198
NZL,New Zealand,2024,4.640818721
NOR,Norway,2016,4.90616622
NOR,Norway,2017,4.382113093
NOR,Norway,2018,4.019789734
NOR,Norway,2019,3.884174613
NOR,Norway,2020,4.74986927
NOR,Norway,2021,4.445593177
NOR,Norway,2022,3.268708286
NOR,Norway,2023,3.646131633
NOR,Norway,2024,3.658025919
POL,Poland,2016,6.258006567
POL,Poland,2017,4.950683966
POL,Poland,2018,3.891102258
POL,Poland,2019,3.31190713
POL,Poland,2020,3.200119296
POL,Poland,2021,3.362246527
POL,Poland,2022,2.890847646
POL,Poland,2023,3.485600265
POL,Poland,2024,3.787114159
PRT,Portugal,2016,11.45170156
PRT,Portugal,2017,9.150950864
PRT,Portugal,2018,7.194414397
PRT,Portugal,2019,6.636465374
PRT,Portugal,2020,6.968383313
PRT,Portugal,2021,6.576782514
PRT,Portugal,2022,6.091663663
PRT,Portugal,2023,6.352042219
PRT,Portugal,2024,6.243241142
SVK,Slovak Republic,2016,9.645139361
SVK,Slovak Republic,2017,8.130797016
SVK,Slovak Republic,2018,6.535394363
SVK,Slovak Republic,2019,5.753499612
SVK,Slovak Republic,2020,6.687986139
SVK,Slovak Republic,2021,6.826410494
SVK,Slovak Republic,2022,6.311332237
SVK,Slovak Republic,2023,6.656544036
SVK,Slovak Republic,2024,6.469686496
ESP,Spain,2016,19.6347062
ESP,Spain,2017,17.22351757
ESP,Spain,2018,15.25473706
ESP,Spain,2019,14.10415782
ESP,Spain,2020,15.53191677
ESP,Spain,2021,14.78053626
ESP,Spain,2022,12.85309862
ESP,Spain,2023,12.87703662
ESP,Spain,2024,12.70292419
SWE,Sweden,2016,7.13168501
SWE,Sweden,2017,6.862587497
SWE,Sweden,2018,6.521678749
SWE,Sweden,2019,6.982091957
SWE,Sweden,2020,8.541824768
SWE,Sweden,2021,8.801312691
SWE,Sweden,2022,7.453400652
SWE,Sweden,2023,8.264438111
SWE,Sweden,2024,8.472914941
CHE,Switzerland,2016,4.91922552
CHE,Switzerland,2017,4.795809676
CHE,Switzerland,2018,4.722526569
CHE,Switzerland,2019,4.387228002
CHE,Switzerland,2020,4.827447004
CHE,Switzerland,2021,5.088625114
CHE,Switzerland,2022,4.397525193
CHE,Switzerland,2023,4.59347493
CHE,Switzerland,2024,4.52667703
TUR,Türkiye,2016,10.90253241
TUR,Türkiye,2017,10.91759552
TUR,Türkiye,2018,10.94915824
TUR,Türkiye,2019,13.71470321
TUR,Türkiye,2020,13.13076609
TUR,Türkiye,2021,12.02344322
TUR,Türkiye,2022,10.71015572
TUR,Türkiye,2023,10.30396515
TUR,Türkiye,2024,10.01749783
GBR,United Kingdom,2016,4.893376377
GBR,United Kingdom,2017,4.402346924
GBR,United Kingdom,2018,4.080516274
GBR,United Kingdom,2019,3.827968655
GBR,United Kingdom,2020,4.554429283
GBR,United Kingdom,2021,4.492204769
GBR,United Kingdom,2022,3.740353012
GBR,United Kingdom,2023,4.348166519
GBR,United Kingdom,2024,4.84596992
USA,United States,2016,4.869153252
USA,United States,2017,4.356773357
USA,United States,2018,3.896218082
USA,United States,2019,3.66905342
USA,United States,2020,8.055015425
USA,United States,2021,5.350673681
USA,United States,2022,3.66342243
USA,United States,2023,4.195828325
USA,United States,2024,4.665392046
OTO,OECD - Total,2016,6.473879761
OTO,OECD - Total,2017,5.944710086
OTO,OECD - Total,2018,5.505818016
OTO,OECD - Total,2019,5.425743772
OTO,OECD - Total,2020,7.155598698
OTO,OECD - Total,2021,6.153774444
OTO,OECD - Total,2022,5.030837403
OTO,OECD - Total,2023,5.329116499
OTO,OECD - Total,2024,5.50843892
EST,Estonia,2016,6.758515947
EST,Estonia,2017,5.763039279
EST,Estonia,2018,5.370297875
EST,Estonia,2019,4.447765443
EST,Estonia,2020,6.805762543
EST,Estonia,2021,6.177398535
EST,Estonia,2022,4.982576212
EST,Estonia,2023,5.259559334
EST,Estonia,2024,6.012691073
ISR,Israel,2016,4.805676467
ISR,Israel,2017,4.221046446
ISR,Israel,2018,3.979290547
ISR,Israel,2019,3.802303188
ISR,Israel,2020,4.273614543
ISR,Israel,2021,4.941248978
ISR,Israel,2022,3.628574326
ISR,Israel,2023,3.833351513
ISR,Israel,2024,3.983828412
SVN,Slovenia,2016,8.017089721
SVN,Slovenia,2017,6.598490382
SVN,Slovenia,2018,5.128205128
SVN,Slovenia,2019,4.448225571
SVN,Slovenia,2020,5.001213887
SVN,Slovenia,2021,4.754901962
SVN,Slovenia,2022,4.296045896
SVN,Slovenia,2023,4.534631335
SVN,Slovenia,2024,4.915350652
