LOCATION,Country,Year,Total Employed People
IRL,Ireland,2016,2130950
IRL,Ireland,2017,2191400
IRL,Ireland,2018,2252475
IRL,Ireland,2019,2318875
IRL,Ireland,2020,2253375
IRL,Ireland,2021,2388800
IRL,Ireland,2022,2545963.085
IRL,Ireland,2023,2556561.775
IRL,Ireland,2024,2596189.289
ITA,Italy,2016,22439789.17
ITA,Italy,2017,22731037.42
ITA,Italy,2018,22947078.67
ITA,Italy,2019,23093802.33
ITA,Italy,2020,22379458.33
ITA,Italy,2021,22558685.83
ITA,Italy,2022,23056423.9
ITA,Italy,2023,23032821.91
ITA,Italy,2024,23081805.89
JPN,Japan,2016,64705000
JPN,Japan,2017,65425833.33
JPN,Japan,2018,66819166.67
JPN,Japan,2019,67495000
JPN,Japan,2020,67102500
JPN,Japan,2021,67123333.33
JPN,Japan,2022,67266881.08
JPN,Japan,2023,67410771.29
JPN,Japan,2024,67317842.73
KOR,Korea,2016,26409583.33
KOR,Korea,2017,26724850
KOR,Korea,2018,26822625
KOR,Korea,2019,27122575
KOR,Korea,2020,26909025
KOR,Korea,2021,27270483.33
KOR,Korea,2022,28102872.41
KOR,Korea,2023,28112339.19
KOR,Korea,2024,28263786.41
LUX,Luxembourg,2016,249552.6762
LUX,Luxembourg,2017,257143.6835
LUX,Luxembourg,2018,264426.1939
LUX,Luxembourg,2019,271595.2362
LUX,Luxembourg,2020,275342.6776
LUX,Luxembourg,2021,281550.3118
LUX,Luxembourg,2022,289065.6005
LUX,Luxembourg,2023,295352.5497
LUX,Luxembourg,2024,300993.2101
MEX,Mexico,2016,51631001.17
MEX,Mexico,2017,52366211.75
MEX,Mexico,2018,53709756.17
MEX,Mexico,2019,54996064.17
MEX,Mexico,2020,50697933.5
MEX,Mexico,2021,54998526.42
MEX,Mexico,2022,57229840.9
MEX,Mexico,2023,58307829.92
MEX,Mexico,2024,59536289.04
NLD,Netherlands,2016,8569416.667
NLD,Netherlands,2017,8745000
NLD,Netherlands,2018,8939333.333
NLD,Netherlands,2019,9117083.333
NLD,Netherlands,2020,9115833.333
NLD,Netherlands,2021,9254000
NLD,Netherlands,2022,9523493.4
NLD,Netherlands,2023,9576387.4
NLD,Netherlands,2024,9612591.215
NZL,New Zealand,2016,2482500
NZL,New Zealand,2017,2586500
NZL,New Zealand,2018,2661000
NZL,New Zealand,2019,2695500
NZL,New Zealand,2020,2730000
NZL,New Zealand,2021,2790000
NZL,New Zealand,2022,2835606.625
NZL,New Zealand,2023,2851929.68
NZL,New Zealand,2024,2860282.3
NOR,Norway,2016,2660250
NOR,Norway,2017,2667500
NOR,Norway,2018,2716000
NOR,Norway,2019,2746750
NOR,Norway,2020,2732250
NOR,Norway,2021,2772750
NOR,Norway,2022,2848786.423
NOR,Norway,2023,2850493.14
NOR,Norway,2024,2863249.802
POL,Poland,2016,15915750
POL,Poland,2017,16189750
POL,Poland,2018,16283250
POL,Poland,2019,16283000
POL,Poland,2020,16228500
POL,Poland,2021,16656000
POL,Poland,2022,16761012.94
POL,Poland,2023,16661753.93
POL,Poland,2024,16609702.11
PRT,Portugal,2016,4429850
PRT,Portugal,2017,4590875
PRT,Portugal,2018,4718700
PRT,Portugal,2019,4776175
PRT,Portugal,2020,4683700
PRT,Portugal,2021,4812300
PRT,Portugal,2022,4913076.938
PRT,Portugal,2023,4919150.598
PRT,Portugal,2024,4943055.793
SVK,Slovak Republic,2016,2492100
SVK,Slovak Republic,2017,2530675
SVK,Slovak Republic,2018,2566725
SVK,Slovak Republic,2019,2583650
SVK,Slovak Republic,2020,2531275
SVK,Slovak Republic,2021,2560550
SVK,Slovak Republic,2022,2610292.304
SVK,Slovak Republic,2023,2604171.571
SVK,Slovak Republic,2024,2603843.767
ESP,Spain,2016,18341550
ESP,Spain,2017,18824800
ESP,Spain,2018,19327725
ESP,Spain,2019,19779300
ESP,Spain,2020,19202425
ESP,Spain,2021,19773600
ESP,Spain,2022,20439597.2
ESP,Spain,2023,20527660.1
ESP,Spain,2024,20720866.08
SWE,Sweden,2016,4863800
SWE,Sweden,2017,4973033.333
SWE,Sweden,2018,5048250
SWE,Sweden,2019,5079925
SWE,Sweden,2020,5011458.333
SWE,Sweden,2021,5057750
SWE,Sweden,2022,5189333.733
SWE,Sweden,2023,5144578.835
SWE,Sweden,2024,5162344.102
CHE,Switzerland,2016,4604243.814
CHE,Switzerland,2017,4636506.721
CHE,Switzerland,2018,4674781.999
CHE,Switzerland,2019,4705763.918
CHE,Switzerland,2020,4695202.781
CHE,Switzerland,2021,4684277.098
CHE,Switzerland,2022,4713186.266
CHE,Switzerland,2023,4725247.243
CHE,Switzerland,2024,4747498.189
TUR,Türkiye,2016,27128916.67
TUR,Türkiye,2017,28059250
TUR,Türkiye,2018,28674000
TUR,Türkiye,2019,28048833.33
TUR,Türkiye,2020,26733500
TUR,Türkiye,2021,28758583.33
TUR,Türkiye,2022,30576031.82
TUR,Türkiye,2023,31220013.54
TUR,Türkiye,2024,31807215.99
GBR,United Kingdom,2016,31743500
GBR,United Kingdom,2017,32057000
GBR,United Kingdom,2018,32439250
GBR,United Kingdom,2019,32798750
GBR,United Kingdom,2020,32509000
GBR,United Kingdom,2021,32406750
GBR,United Kingdom,2022,32734111.05
GBR,United Kingdom,2023,32857853.11
GBR,United Kingdom,2024,32980418.11
USA,United States,2016,151436416.7
USA,United States,2017,153334583.3
USA,United States,2018,155759083.3
USA,United States,2019,157529916.7
USA,United States,2020,147806083.3
USA,United States,2021,152578500
USA,United States,2022,158337899
USA,United States,2023,158333050.6
USA,United States,2024,157986222.8
OTO,OECD - Total,2016,605631337.7
OTO,OECD - Total,2017,614581362.1
OTO,OECD - Total,2018,624404467.2
OTO,OECD - Total,2019,631082676.2
OTO,OECD - Total,2020,607564227
OTO,OECD - Total,2021,625008380.4
OTO,OECD - Total,2022,644521798.5
OTO,OECD - Total,2023,647473612.6
OTO,OECD - Total,2024,650205078
EST,Estonia,2016,644625
EST,Estonia,2017,658575
EST,Estonia,2018,664750
EST,Estonia,2019,671350
EST,Estonia,2020,656600
EST,Estonia,2021,654225
EST,Estonia,2022,686513.5265
EST,Estonia,2023,701403.9996
EST,Estonia,2024,704554.804
ISR,Israel,2016,3737907.155
ISR,Israel,2017,3824492.511
ISR,Israel,2018,3905271.68
ISR,Israel,2019,3966368.454
ISR,Israel,2020,3912793.175
ISR,Israel,2021,3957701.586
ISR,Israel,2022,4193718.603
ISR,Israel,2023,4273629.415
ISR,Israel,2024,4332170.395
SVN,Slovenia,2016,915000
SVN,Slovenia,2017,959000
SVN,Slovenia,2018,980500
SVN,Slovenia,2019,982750
SVN,Slovenia,2020,978250
SVN,Slovenia,2021,971500
SVN,Slovenia,2022,986294.4914
SVN,Slovenia,2023,986238.596
SVN,Slovenia,2024,985252.3574
